Business Name,Category,City,Area/Locality,Full Address,Pincode,Contact Number,Website Available,Website URL,Google Maps Link,Google Rating,Total Reviews,Latitude,Longitude,Business Status,Business Size,Rating Category,Has Website,Has Contact,High Rated,Popular Business,Opportunity Score,Review Group
Sandeep Sawant Group,Construction Company,Raigad,Panvel,"Office No. 408/409 Plot No. 34/34A Bhoomi LandMark Sector 17, Khanda Colony, New Panvel East, Panvel, Maharashtra 410206, India",410206,99673 99759,YES,https://www.sandeepsawantgroup.com/?utm_source=chatgpt.com,Map,4.8,95,19.00811954,73.10672373,Open,Medium,Excellent,1,1,1,0,49.64,Medium
Reliance Smart Bazar,Supermarket,Raigad,Panvel,"LG/01, Orion Mall, Service Road, Forest Colony, Near BlueStone Jewellery, Panvel, Navi Mumbai",410206,18008910001,YES,https://stores.reliancesmartbazaar.com/reliance-smart-bazaar-hypermarket-panvel-navi-mumbai-280359/Home?utm_source=chatgpt.com,Map,3.6,142,19.00783694,73.10623667,Open,Medium,Average,1,1,0,1,77.63,High
Orian Mall,Shopping Mall,Raigad,Panvel,"Final Plot No. 311, Near ST Bus Depot, Panvel, Navi Mumbai",410206,2239658381,YES,https://orionmallpanvel.com/,https://maps.google.com/?q=Orion+Mall+Panvel,4.2,10539,18.99379801,73.11555622,Open,Popular,Good,1,1,0,1,108.63,Very High
Reliance Digital,Electronics Store,Raigad,Panvel,"S11 & S12, Second Floor, Orion Mall, Panvel",410206,2239658335,YES,https://www.reliancedigital.in/,https://maps.google.com/?q=Reliance+Digital+Orion+Mall+Panvel,4.8,15089,18.99327833,73.11587524,Open,Popular,Excellent,1,1,1,1,100.22,Very High
Apollo Pharmacy,Pharmacy,Raigad,Panvel,"Plot No. 19 & 20, Ridhi Complex No.7, Opp. Bhartiya Sweets, Sector 13, Khanda Colony, Panvel",410206,7700950216,YES,https://www.apollo247.com/,https://maps.google.com/?q=Apollo+Pharmacy+Khanda+Colony+Panvel,3.3,34,19.00602389,73.11105211,Open,Small,Average,1,1,0,0,69.55,Low
Apollo Pharmacy,Pharmacy,Raigad,Panvel,"Shop No.2, Ground Floor, Sector C, Hiranandani Fortune City, Panshil, Panvel",410221,8044481279,YES,https://www.apollopharmacy.in/,https://maps.google.com/?q=Apollo+Pharmacy+Fortune+City+Panvel,3.9,21,18.91356643,73.19560647,Open,Small,Average,1,1,0,0,52.91,Low
Panvel Tools And Hardware Stores,Hardware Store,Raigad,Panvel,"Shop No. 3, Salman Building, Plot No. 278, M.G. Road, Opp. Pancharatna Hotel, Old Panvel",410206,22 27453597,NO,,Map,4.2,18,19.01185122,73.11435657,Open,Small,Good,0,1,0,0,45.44,Low
New Hardik - The Hardware People,Hardware Store,Raigad,Panvel,"Shop Number 2, 3, Masi Get, plot Number 218, Rod, near Pancharatn hotel, Old Panvel, Panvel, Maharashtra 410206",410206,90361 86726,NO,,Map,4.7,87,18.9823613,73.11367226,Open,Medium,Excellent,0,1,1,0,50.77,Medium
New Dadabhai Sweets And Bakery,Sweet Shop And Bakerie,Raigad,Panvel,"Shop No. 1, Areeb Apartment, Opp. Pada Mohalla Masjid, Panvel",410206,+91 93241 12055,NO,,https://maps.app.goo.gl/rtkMdcsoiTKeovnm9,4.3,242,18.98271762,73.11371669,Open,Large,Good,0,1,0,1,68.93,High
Shree Narayan Store,Stationery Store,Raigad,Panvel,"Shop No. 7, Plot No. 201, Ambedkar Road, Uran Road, Old Panvel",410206,22 27454767,NO,,https://maps.app.goo.gl/QcKdNzAXbbN1Bezi8,4.1,84,18.98940961,73.11378558,Open,Medium,Good,0,1,0,0,62.43,Medium
Celebration,Gift Shop,Raigad,Panvel,"Shop No. 9, Krantiveer Vasudev Balavant Phadke Natyagruh, Near Saraswati Vidya Mandir, Old Panvel",410206,98673 23281,NO,,https://maps.app.goo.gl/5QcunUhSaks8UGwM6,4.5,98,18.98726502,73.11052554,Open,Medium,Good,0,1,1,0,55.95,Medium
Mahavir Electricals,Electrical Shop,Raigad,Panvel,"Mahatma Gandhi Road, Old Panvel, Navi Mumbai",410206,Unknown,NO,,https://maps.google.com/?q=Mahavir+Electricals+Panvel,5,2,18.98312157,73.11236386,Open,Small,Excellent,0,1,1,0,10.99,Very Low
Shree Ganesh Medical & General Store,Medical Store,Raigad,Panvel,"Sector 8, Khanda Colony, Panvel",410206,Unknown,NO,,https://maps.google.com/?q=Shree+Ganesh+Medical+General+Store+Panvel,5,39,19.0193697,73.08678025,Open,Small,Excellent,0,1,1,0,36.89,Low
Raj Furniture,Furniture Store,Raigad,Panvel,"Panvel–Kamothe Road, Panvel",410206,Unknown,NO,,https://maps.google.com/?q=Raj+Furniture+Panvel,5,10,19.04010997,73.12313062,Open,Small,Excellent,0,1,1,0,23.98,Very Low
Bhavani Digital & Stationery,Stationery Store,Raigad,Panvel,"Shop No. 85, Municipal Complex, Bhaji Market, Old Panvel",410206,99206 65439,NO,,https://maps.app.goo.gl/migx8WiPJ1CuUYhPA,4.9,231,19.004725,73.11252269,Open,Large,Excellent,0,1,1,1,56.47,High
Panvel Fancy Stores,Hardware Store,Raigad,Panvel,"Shop No. 9, Uran Road, Koliwada, Panvel",410206,80805 67030,NO,,https://maps.app.goo.gl/vf4jrhZaPchKpW3T6,4.3,12,19.00429443,73.10958429,Open,Small,Good,0,1,0,0,39.65,Low
Apple Stationery Xerox Panvel,Stationery Store,Raigad,Panvel,"Shop No. 2, Om Sai Sarang Co-op Society, MG Road, Mominpada, Old Panvel",410206,98197 57574,NO,,https://maps.app.goo.gl/4E6hNV4urSpwLfh18,4.2,5,19.00353547,73.10271784,Open,Small,Good,0,1,0,0,33.92,Very Low
Shree Shyam Hardware,Hardware Store,Raigad,Panvel,"Sai Akash Apartment, Shop No. 2, Sector 12, Matheran Road, New Panvel East",410206,74003 49751,NO,,https://maps.app.goo.gl/3c4C6yqMWsRTG2go9,5,125,19.02691869,73.12057062,Open,Medium,Excellent,0,1,1,1,48.36,High
Nobel Art & Craft Store,Art And Craft,Raigad,Panvel,"1 Neel Shilp, Road No. 17, Sector 19, Near Post Office, New Panvel East",410206,86918 33826,NO,,https://maps.app.goo.gl/2Zrgn6AZq9M7VbCX9,3.9,247,19.01898622,73.11908325,Open,Large,Average,0,1,0,1,77.13,High
Discount Bazaar,Grocery Store,Raigad,Panvel,"Shop No. 4, Anmol Kavya, Sector 5, Karanjade, Panvel, Maharashtra",410206,9619838738,YES,https://www.discountbazaar.co.in,https://maps.app.goo.gl/Zo99bB69bx5sBMTy7,2,1,18.97370368,73.10990206,Open,Small,Poor,1,1,0,0,66.93,Very Low
Ganesh Electricals,Electrical Shop,Raigad,Panvel,"shop no-4, Galaxy Avenue, plot no-88, Sector 22, Phase II, Sector 22, Kamothe, Panvel, Maharashtra 410209",410206,8369395411,NO,,https://www.google.com/maps/search/Ganesh+Electricals+Panvel,5,21,19.02769986,73.09611148,Open,Small,Excellent,0,1,1,0,30.91,Low
Shree Datta Medical,Medical Store,Raigad,Panvel,"Shree Datta Medical, Shop # 4, Vinayak Darshan, Plot 89, 410 209, Sector 21, Kamothe, Panvel, Maharashtra 410209",410206,9892849078,NO,,https://www.google.com/maps/search/Shree+Datta+Medical+Panvel,0,0,19.01514664,73.09441245,Open,Small,Poor,0,1,0,0,100,Very Low
Om Stationery,Stationery Store,Raigad,Panvel,"Shop No. 2, Kiran Cooperative Housing Society, Plot No. 22, Khanda Colony, opposite Shree Krupa Hall, Sector 7, Greater Khanda, Panvel, Maharashtra 410206",410206,8425056981,NO,,https://www.google.com/maps/search/Om+Stationery+Panvel,4.7,3,19.01460998,73.11252778,Open,Small,Excellent,0,1,1,0,19.86,Very Low
Sai Krupa Medical,Medical Store,Raigad,Panvel,"Atlantis Aura Plot No 11 Sector 17, Roadpali, Kalamboli, Panvel, Maharashtra 410218",410218,8976175779,NO,,https://maps.app.goo.gl/Y9LA38okoPGPaADc9,5,1,19.04828746,73.0955384,Open,Small,Excellent,0,1,1,0,6.93,Very Low
Laxmi Traders,Hardware Store,Raigad,Panvel,"City Gem Building, CITY GEM SHIP NO.17 PLOT NO E-147, E 147, Sector 12, Kharghar, Panvel, Maharashtra 410210",410210,9867121820,NO,,https://www.google.com/maps/search/Laxmi+Traders+Panvel,4.6,5,19.051413,73.06550216,Open,Small,Excellent,0,1,1,0,25.92,Very Low
Shree Swami Samarth Glass & Hardware,Hardware Store,Raigad,Panvel,"Shop No 9 Plot No 44 Sector 10 Kamothe Navi Mumbai, Mumbai, Maharashtra 410209",410209,9967221869,NO,,https://maps.app.goo.gl/uWxdBjogHVvUwGpLA,2.8,5,19.06892329,73.10544411,Open,Small,Poor,0,1,0,0,61.92,Very Low
